Trial;sampling date;EC stage;treatment ;plot ID;field repetition;Formelcheck treatment;Rain shelter/Rainfed;main crop;soil depth (cm);RLD total (cm cm-3);RLD bulk (cm cm-3);RLD BP (cm cm-3);RLU total (cm /m^2 in soil depth);RLU bulk (cm /m^2 in soil depth);RLU BP (cm /m^2 in soil depth);;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;175;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;180;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;185;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;190;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;195;0;0;0;0;0;0;;;;;;;;;;;;
trial C;07.05.14;;6;21;;6;;spring barley;200;0;0;0;0;0;0;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;5;0,62;0,62;0;310;310;0;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;10;0,526;0,526;0;263;263;0;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;15;0,72;0,72;0;360;360;0;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;20;0,662;0,662;0;331;331;0;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;25;0,688;0,612;0,076;344;306;38;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;30;0,59;0,57;0,02;295;285;10;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;35;0,518;0,496;0,022;259;248;11;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;40;0,47;0,428;0,042;235;214;21;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;45;0,262;0,186;0,076;131;93;38;;;;;;;;;;;;
trial C;21.05.14;;5;7;;5;;spring barley;50;0,146;0,078;0,068;73;39;34;;;;;;;;;;;;
