Nmin analysed with method XXX at Wiesengut, ? AOL, unit: kg/ha;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Trial;sampling date;treatment ;plot ID;Formelcheck treatment;main crop;soil depth;Nmin kg/ha;data source;comment
trial C;2014-03-11;2;13;2;;30-45cm;2,191246652;;
trial C;2014-03-11;2;13;2;;45-75cm;3,010986824;;
trial C;2014-03-11;2;13;2;;75-105cm;2,538735887;;
trial C;2014-03-11;3;14;3;;0-30cm;53,93799289;;
trial C;2014-03-11;3;14;3;;30-45cm;2,397170209;;
trial C;2014-03-11;3;14;3;;45-75cm;4,30260153;;
trial C;2014-03-11;3;14;3;;75-105cm;2,952792871;;
trial C;2014-03-11;1;15;1;;0-30cm;33,63751102;;
trial C;2014-03-11;1;15;1;;30-45cm;2,900295781;;
trial C;2014-03-11;1;15;1;;45-75cm;2,784502049;;
trial C;2014-03-11;1;15;1;;75-105cm;2,620935799;;
trial C;2014-03-11;6;16;6;;0-30cm;12,52751762;;
trial C;2014-03-11;6;16;6;;30-45cm;2,21479653;;
trial C;2014-03-11;6;16;6;;45-75cm;1,874495387;;
trial C;2014-03-11;6;16;6;;75-105cm;1,011805145;;
trial C;2014-03-11;5;17;5;;0-30cm;12,89910786;;
trial C;2014-03-11;5;17;5;;30-45cm;2,385390916;;
trial C;2014-03-11;5;17;5;;45-75cm;1,047958266;;
trial C;2014-03-11;5;17;5;;75-105cm;1,696514;;
trial C;2014-03-11;4;18;4;;0-30cm;53,6425943;;
trial C;2014-03-11;4;18;4;;30-45cm;8,322363659;;
trial C;2014-03-11;4;18;4;;45-75cm;3,402041246;;
trial C;2014-03-11;4;18;4;;75-105cm;9,686180562;;
trial C;2014-03-11;5;19;5;;0-30cm;4,562042834;;
trial C;2014-03-11;5;19;5;;30-45cm;2,387025004;;
trial C;2014-03-11;5;19;5;;45-75cm;2,437373509;;
trial C;2014-03-11;5;19;5;;75-105cm;2,469931168;;
trial C;2014-03-11;4;20;4;;0-30cm;16,27839442;;
trial C;2014-03-11;4;20;4;;30-45cm;2,751981315;;
trial C;2014-03-11;4;20;4;;45-75cm;3,29493605;;
trial C;2014-03-11;4;20;4;;75-105cm;2,841445752;;
trial C;2014-03-11;6;21;6;;0-30cm;5,971003292;;
trial C;2014-03-11;6;21;6;;30-45cm;2,796329546;;
trial C;2014-03-11;6;21;6;;45-75cm;1,238040541;;
trial C;2014-03-11;6;21;6;;75-105cm;1,132795506;;
trial C;2014-03-11;3;22;3;;0-30cm;26,91892185;;
trial C;2014-03-11;3;22;3;;30-45cm;2,389762113;;
trial C;2014-03-11;3;22;3;;45-75cm;2,40527384;;
trial C;2014-03-11;3;22;3;;75-105cm;2,868539959;;
trial C;2014-03-11;2;23;2;;0-30cm;15,42776581;;
trial C;2014-03-11;2;23;2;;30-45cm;6,305887821;;
trial C;2014-03-11;2;23;2;;45-75cm;3,290480465;;
